stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
disgusting;17;100;Z;right;emotional;salient;correct;11;539,6
disgusting;49;300;Z;right;emotional;salient;incorrect;2;368,7
disgusting;13;200;N;left;emotional;salient;correct;12;540,7
happy;22;200;Z;left;emotional;control;correct;11;460,7
disgusting;14;200;Z;bottom;emotional;salient;correct;11;474,4
disgusting;15;100;Z;bottom;emotional;salient;correct;11;459,7
happy;35;300;Z;right;emotional;control;correct;11;461,3
disgusting;08;200;Z;left;emotional;salient;correct;11;482,5
happy;27;100;Z;top;emotional;control;correct;11;483,4
disgusting;13;300;Z;right;emotional;salient;correct;11;464,5
happy;31;200;N;left;emotional;control;correct;12;638,5
happy;32;300;Z;bottom;emotional;control;correct;11;453,9
disgusting;03;100;N;bottom;emotional;salient;correct;12;511,8
disgusting;35;300;Z;top;emotional;salient;correct;11;478,1
happy;35;100;Z;right;emotional;control;correct;11;482,2
disgusting;50;300;N;right;emotional;salient;correct;12;429,6
disgusting;09;200;Z;top;emotional;salient;correct;11;624,4
happy;01;100;N;right;emotional;control;correct;12;410,8
disgusting;01;200;N;bottom;emotional;salient;correct;12;455,9
happy;12;300;N;left;emotional;control;correct;12;497,8
happy;25;200;N;right;emotional;control;correct;12;538,3
happy;25;100;Z;bottom;emotional;control;correct;11;537,7
disgusting;33;200;Z;right;emotional;salient;correct;11;613,8
happy;32;200;N;right;emotional;control;correct;12;550,4
disgusting;42;100;N;top;emotional;salient;correct;12;575,7
disgusting;48;200;Z;bottom;emotional;salient;correct;11;566,3
happy;47;100;Z;left;emotional;control;correct;11;568,5
happy;44;100;N;bottom;emotional;control;correct;12;501,8
happy;04;200;N;bottom;emotional;control;correct;12;451,1
happy;17;300;Z;left;emotional;control;correct;11;465,7
happy;18;200;N;top;emotional;control;correct;12;538,3
disgusting;49;200;Z;top;emotional;salient;correct;11;549,3
disgusting;36;200;N;top;emotional;salient;correct;12;522
disgusting;20;100;Z;top;emotional;salient;correct;11;617,1
disgusting;38;300;Z;left;emotional;salient;correct;11;547,5
happy;08;100;N;left;emotional;control;incorrect;1;421,8
disgusting;46;200;N;left;emotional;salient;incorrect;1;631,6
disgusting;43;100;N;bottom;emotional;salient;correct;12;498
happy;15;200;N;left;emotional;control;correct;12;621,1
disgusting;47;200;Z;left;emotional;salient;correct;11;602,5
happy;24;200;Z;left;emotional;control;correct;11;428,7
disgusting;23;100;Z;bottom;emotional;salient;incorrect;2;492,3
disgusting;43;300;N;top;emotional;salient;correct;12;520,3
disgusting;27;100;Z;right;emotional;salient;correct;11;534,6
disgusting;32;100;N;right;emotional;salient;correct;12;634,8
happy;04;300;Z;top;emotional;control;correct;11;466,2
happy;21;300;N;bottom;emotional;control;correct;12;558
disgusting;44;300;N;bottom;emotional;salient;correct;12;455,5
happy;02;100;N;left;emotional;control;incorrect;1;561,6
happy;44;300;Z;right;emotional;control;correct;11;422,2
happy;06;100;Z;bottom;emotional;control;correct;11;464,9
disgusting;34;100;Z;top;emotional;salient;correct;11;547,8
disgusting;11;200;N;bottom;emotional;salient;correct;12;511,6
disgusting;28;200;N;right;emotional;salient;correct;12;512,6
disgusting;37;300;N;left;emotional;salient;correct;12;472,4
disgusting;04;300;Z;bottom;emotional;salient;incorrect;2;496,2
disgusting;34;300;Z;top;emotional;salient;correct;11;478,3
happy;07;200;Z;right;emotional;control;correct;11;420,1
disgusting;21;100;N;top;emotional;salient;correct;12;450,1
happy;10;100;N;top;emotional;control;correct;12;506,7
happy;38;300;Z;bottom;emotional;control;correct;11;543,3
happy;44;200;Z;top;emotional;control;correct;11;554,6
disgusting;39;100;N;left;emotional;salient;correct;12;516,6
happy;48;100;N;right;emotional;control;correct;12;492,1
happy;25;300;Z;top;emotional;control;correct;11;419
disgusting;09;300;Z;right;emotional;salient;correct;11;534,1
happy;39;300;N;bottom;emotional;control;correct;12;457,2
disgusting;25;100;Z;left;emotional;salient;correct;11;566,2
disgusting;20;300;N;top;emotional;salient;correct;12;424,9
happy;13;200;Z;bottom;emotional;control;correct;11;571,3
happy;35;200;Z;bottom;emotional;control;correct;11;424,2
happy;28;100;Z;right;emotional;control;miss;;
happy;47;300;N;top;emotional;control;correct;12;493,7
disgusting;37;200;N;bottom;emotional;salient;correct;12;413,7
happy;10;200;Z;left;emotional;control;correct;11;411,9
happy;11;100;Z;left;emotional;control;correct;11;416,5
happy;36;300;Z;left;emotional;control;correct;11;334,4
happy;49;200;N;bottom;emotional;control;correct;12;415,2
happy;27;200;Z;right;emotional;control;correct;11;470,7
disgusting;48;100;N;right;emotional;salient;correct;12;560,6
disgusting;19;100;N;left;emotional;salient;correct;12;516,7
happy;42;100;Z;top;emotional;control;correct;11;492,7
happy;09;100;N;bottom;emotional;control;correct;12;478,9
happy;46;300;N;right;emotional;control;correct;12;421,7
disgusting;46;100;Z;right;emotional;salient;correct;11;538,7
disgusting;29;100;N;top;emotional;salient;correct;12;455,5
disgusting;50;200;N;right;emotional;salient;correct;12;427,2
disgusting;12;300;Z;bottom;emotional;salient;correct;11;465,7
disgusting;03;200;Z;left;emotional;salient;correct;11;552
happy;07;100;N;right;emotional;control;correct;12;462,2
happy;11;300;N;left;emotional;control;incorrect;1;426,3
disgusting;49;100;Z;bottom;emotional;salient;correct;11;593,1
disgusting;03;300;N;left;emotional;salient;correct;12;536,7
happy;06;200;Z;top;emotional;control;correct;11;557,9
happy;34;300;Z;left;emotional;control;correct;11;452,2
happy;38;200;N;left;emotional;control;correct;12;535,3
happy;37;200;N;top;emotional;control;correct;12;531,3
happy;19;200;N;right;emotional;control;correct;12;456,7
happy;46;100;Z;bottom;emotional;control;correct;11;545,9
happy;45;100;Z;top;emotional;control;correct;11;542,7
disgusting;32;300;Z;left;emotional;salient;correct;11;504,4
happy;18;300;Z;right;emotional;control;correct;11;633,4
happy;33;300;Z;top;emotional;control;correct;11;495,2
disgusting;12;100;Z;top;emotional;salient;correct;11;499,5
disgusting;27;300;N;bottom;emotional;salient;correct;12;473,3
disgusting;18;200;Z;right;emotional;salient;correct;11;514,4
happy;43;100;Z;right;emotional;control;correct;11;479,3
happy;23;300;Z;bottom;emotional;control;correct;11;444,5
happy;41;300;N;top;emotional;control;correct;12;519,8
happy;49;300;N;right;emotional;control;correct;12;541,1
happy;24;100;N;top;emotional;control;correct;12;412
happy;01;200;N;right;emotional;control;correct;12;396
disgusting;41;200;N;left;emotional;salient;correct;12;490,4
happy;48;300;N;bottom;emotional;control;correct;12;500,2
disgusting;19;200;Z;top;emotional;salient;correct;11;573,5
happy;19;300;N;left;emotional;control;correct;12;440,8
disgusting;42;300;N;right;emotional;salient;correct;12;367,1
happy;17;100;N;left;emotional;control;correct;12;547,2
disgusting;26;200;N;top;emotional;salient;correct;12;456,2
disgusting;33;100;Z;left;emotional;salient;correct;11;584,8
happy;03;100;Z;left;emotional;control;correct;11;539,7
disgusting;22;100;N;bottom;emotional;salient;correct;12;621,4
happy;23;100;N;bottom;emotional;control;correct;12;394,9
happy;09;300;Z;left;emotional;control;correct;11;505
disgusting;44;200;Z;bottom;emotional;salient;incorrect;2;442,2
disgusting;45;300;Z;left;emotional;salient;correct;11;457,6
disgusting;41;100;N;top;emotional;salient;correct;12;507,3
happy;34;100;Z;bottom;emotional;control;correct;11;522,6
disgusting;25;200;N;right;emotional;salient;correct;12;433,9
incongruent;47;200;Z;top;semantic;salient;correct;11;687,1
incongruent;17;300;N;top;semantic;salient;correct;12;451
congruent;40;100;Z;left;semantic;control;correct;11;495,1
incongruent;43;100;N;right;semantic;salient;correct;12;473,7
congruent;39;100;Z;right;semantic;control;correct;11;512,8
incongruent;19;200;N;top;semantic;salient;correct;12;517,5
congruent;30;100;N;top;semantic;control;correct;12;472,7
incongruent;46;100;Z;right;semantic;salient;correct;11;566,7
congruent;26;300;N;left;semantic;control;correct;12;448,2
incongruent;13;300;N;left;semantic;salient;correct;12;459,4
congruent;14;200;N;top;semantic;control;correct;12;539,5
congruent;18;300;Z;bottom;semantic;control;correct;11;891,7
congruent;45;200;N;bottom;semantic;control;correct;12;560,2
incongruent;48;200;N;bottom;semantic;salient;correct;12;434,3
incongruent;37;100;N;bottom;semantic;salient;miss;;
incongruent;05;100;Z;left;semantic;salient;correct;11;635,5
incongruent;08;200;Z;left;semantic;salient;correct;11;453,7
congruent;15;300;Z;right;semantic;control;incorrect;2;420
congruent;46;300;N;right;semantic;control;correct;12;437,5
congruent;17;200;Z;top;semantic;control;correct;11;498,7
incongruent;02;100;N;top;semantic;salient;correct;12;648,5
congruent;11;200;N;right;semantic;control;correct;12;501,6
congruent;42;100;N;bottom;semantic;control;correct;12;510,6
incongruent;07;300;N;bottom;semantic;salient;correct;12;486,4
incongruent;36;200;Z;right;semantic;salient;correct;11;456,4
incongruent;01;200;Z;bottom;semantic;salient;correct;11;433,7
incongruent;21;300;Z;left;semantic;salient;correct;11;460,9
congruent;37;100;Z;top;semantic;control;correct;11;501,2
